# SYNTHETIC demo — per-window popstats — gen_candidate_demo.py
window_id	chrom	start	end	pi	dxy_H1_H2	arrangement_FST_like	HWE_FIS	heterozygosity_obs	heterozygosity_exp
LRR01_W001	C_gar_LG28	1200000	1299999	0.005116	0.010145	0.729898	-0.091167	0.545583	0.495245
LRR01_W002	C_gar_LG28	1300000	1399999	0.006084	0.013163	0.777906	-0.074261	0.53713	0.498331
LRR01_W003	C_gar_LG28	1400000	1499999	0.005121	0.010793	0.721668	-0.071598	0.535799	0.496266
LRR01_W004	C_gar_LG28	1500000	1599999	0.005279	0.010935	0.698933	-0.074537	0.537269	0.500954
LRR01_W005	C_gar_LG28	1600000	1699999	0.00571	0.011812	0.789347	-0.072571	0.536285	0.501549
LRR01_W006	C_gar_LG28	1700000	1799999	0.005676	0.012399	0.650048	-0.120946	0.560473	0.500093
LRR01_W007	C_gar_LG28	1800000	1899999	0.006207	0.013582	0.692075	-0.109812	0.554906	0.50239
LRR01_W008	C_gar_LG28	1900000	1999999	0.005153	0.011195	0.657796	-0.083996	0.541998	0.503985
LRR01_W009	C_gar_LG28	2000000	2099999	0.005296	0.011187	0.719203	-0.092955	0.546477	0.499895
LRR01_W010	C_gar_LG28	2100000	2199999	0.005338	0.01135	0.750186	-0.110993	0.555496	0.50306
LRR01_W011	C_gar_LG28	2200000	2299999	0.006025	0.012501	0.7215	-0.06196	0.53098	0.498214
LRR01_W012	C_gar_LG28	2300000	2399999	0.005384	0.011775	0.770239	-0.116135	0.558068	0.499854
LRR01_W013	C_gar_LG28	2400000	2499999	0.006093	0.012342	0.791266	-0.084656	0.542328	0.500603
LRR01_W014	C_gar_LG28	2500000	2599999	0.005516	0.01145	0.662145	-0.074934	0.537467	0.50226
LRR01_W015	C_gar_LG28	2600000	2699999	0.005502	0.011706	0.660024	-0.094133	0.547067	0.497492
LRR01_W016	C_gar_LG28	2700000	2799999	0.005421	0.011024	0.714563	-0.069418	0.534709	0.503272
LRR01_W017	C_gar_LG28	2800000	2899999	0.00594	0.012032	0.758957	-0.11445	0.557225	0.50321
LRR01_W018	C_gar_LG28	2900000	2999999	0.006442	0.013939	0.681308	-0.105094	0.552547	0.497932
LRR01_W019	C_gar_LG28	3000000	3099999	0.006344	0.01369	0.778529	-0.102683	0.551342	0.504137
LRR01_W020	C_gar_LG28	3100000	3199999	0.005935	0.012457	0.715342	-0.112761	0.55638	0.498367
LRR01_W021	C_gar_LG28	3200000	3299999	0.005905	0.011995	0.705084	-0.065667	0.532833	0.502013
LRR01_W022	C_gar_LG28	3300000	3399999	0.005419	0.011557	0.72881	-0.046875	0.523438	0.500678
LRR01_W023	C_gar_LG28	3400000	3499999	0.006155	0.013515	0.752882	-0.071058	0.535529	0.500302
LRR01_W024	C_gar_LG28	3500000	3599999	0.00539	0.010997	0.658609	-0.051259	0.525629	0.497132
LRR01_W025	C_gar_LG28	3600000	3699999	0.006146	0.01234	0.739058	-0.116446	0.558223	0.502355
LRR01_W026	C_gar_LG28	3700000	3799999	0.005419	0.011463	0.750203	-0.117943	0.558971	0.496996
LRR01_W027	C_gar_LG28	3800000	3899999	0.005919	0.012085	0.642746	-0.100525	0.550262	0.497561
LRR01_W028	C_gar_LG28	3900000	3999999	0.005203	0.011253	0.701993	-0.054234	0.527117	0.495163
LRR01_W029	C_gar_LG28	4000000	4099999	0.005128	0.010742	0.713728	-0.073868	0.536934	0.496181
LRR01_W030	C_gar_LG28	4100000	4199999	0.005054	0.010948	0.667804	-0.057138	0.528569	0.502778
LRR01_W031	C_gar_LG28	4200000	4299999	0.006053	0.012227	0.788878	-0.050099	0.525049	0.501406
LRR01_W032	C_gar_LG28	4300000	4399999	0.006567	0.013914	0.693916	-0.115225	0.557612	0.501262
LRR01_W033	C_gar_LG28	4400000	4499999	0.005553	0.011639	0.770583	-0.118405	0.559203	0.499514
LRR01_W034	C_gar_LG28	4500000	4599999	0.006594	0.014177	0.665215	-0.111702	0.555851	0.500799
LRR01_W035	C_gar_LG28	4600000	4699999	0.005761	0.011756	0.775837	-0.09335	0.546675	0.498697
LRR01_W036	C_gar_LG28	4700000	4799999	0.005917	0.011872	0.710423	-0.061622	0.530811	0.499247
LRR01_W037	C_gar_LG28	4800000	4899999	0.005084	0.01076	0.79667	-0.061149	0.530574	0.498448
LRR01_W038	C_gar_LG28	4900000	4999999	0.005581	0.012115	0.793957	-0.079414	0.539707	0.500384
LRR01_W039	C_gar_LG28	5000000	5099999	0.006063	0.012896	0.720758	-0.092793	0.546396	0.500003
LRR01_W040	C_gar_LG28	5100000	5199999	0.005404	0.010881	0.778402	-0.110563	0.555281	0.495624
LRR01_W041	C_gar_LG28	5200000	5299999	0.005119	0.010244	0.739881	-0.068426	0.534213	0.495036
LRR01_W042	C_gar_LG28	5300000	5399999	0.005301	0.010831	0.782653	-0.05973	0.529865	0.501403
LRR01_W043	C_gar_LG28	5400000	5499999	0.005186	0.010709	0.742067	-0.120465	0.560233	0.499908
LRR01_W044	C_gar_LG28	5500000	5599999	0.005505	0.011549	0.765227	-0.042569	0.521285	0.496636
LRR01_W045	C_gar_LG28	5600000	5699999	0.005567	0.011772	0.726833	-0.056817	0.528408	0.496444
LRR01_W046	C_gar_LG28	5700000	5799999	0.005432	0.011362	0.689498	-0.061455	0.530728	0.500954
LRR01_W047	C_gar_LG28	5800000	5899999	0.005609	0.01181	0.703543	-0.086454	0.543227	0.502519
LRR01_W048	C_gar_LG28	5900000	5999999	0.005092	0.010789	0.784638	-0.113425	0.556712	0.497746
LRR01_W049	C_gar_LG28	6000000	6099999	0.005409	0.011418	0.728561	-0.101625	0.550813	0.496524
LRR01_W050	C_gar_LG28	6100000	6199999	0.005493	0.011363	0.724526	-0.102455	0.551227	0.498878
LRR01_W051	C_gar_LG28	6200000	6299999	0.005435	0.011925	0.782383	-0.091977	0.545988	0.503133
LRR01_W052	C_gar_LG28	6300000	6399999	0.006524	0.013453	0.781752	-0.112197	0.556099	0.497588
LRR01_W053	C_gar_LG28	6400000	6499999	0.006104	0.013006	0.731374	-0.071318	0.535659	0.495754
LRR01_W054	C_gar_LG28	6500000	6599999	0.005122	0.010161	0.791718	-0.097063	0.548531	0.499784
LRR01_W055	C_gar_LG28	6600000	6699999	0.005652	0.011387	0.746785	-0.087848	0.543924	0.502791
LRR01_W056	C_gar_LG28	6700000	6799999	0.00584	0.011914	0.676472	-0.045173	0.522586	0.502045
LRR01_W057	C_gar_LG28	6800000	6899999	0.00625	0.01311	0.657038	-0.118459	0.55923	0.502841
LRR01_W058	C_gar_LG28	6900000	6999999	0.005767	0.012698	0.703987	-0.11471	0.557355	0.502728
LRR01_W059	C_gar_LG28	7000000	7099999	0.00659	0.014381	0.665372	-0.042283	0.521142	0.501255
LRR01_W060	C_gar_LG28	7100000	7199999	0.005487	0.011185	0.665758	-0.104146	0.552073	0.495609
LRR01_W061	C_gar_LG28	7200000	7299999	0.006302	0.013303	0.771988	-0.081161	0.540581	0.496844
