# SYNTHETIC demo — n=226 hatchery (cgar_hatchery_226) — gen_candidate_demo.py
sample_id	karyotype_class	confidence	family_id
S001	H1H1	0.868319	BL01
S002	H1H2	0.874926	BL02
S003	H1H1	0.914974	BL03
S004	H1H2	0.879866	BL04
S005	H1H2	0.967917	BL05
S006	H1H1	0.876262	BL06
S007	H1H1	0.883584	BL07
S008	H1H1	0.987864	BL08
S009	H1H2	0.988461	BL09
S010	H1H1	0.97656	BL10
S011	H1H2	0.94668	BL11
S012	H1H2	0.887896	BL12
S013	H1H2	0.945124	BL13
S014	H1H1	0.851853	BL14
S015	H2H2	0.938626	BL15
S016	H1H2	0.922848	BL16
S017	H2H2	0.889047	BL17
S018	H1H1	0.908413	BL18
S019	H1H1	0.901535	BL01
S020	H1H1	0.956924	BL02
S021	H2H2	0.902311	BL03
S022	H1H2	0.88605	BL04
S023	H2H2	0.972884	BL05
S024	H1H2	0.874493	BL06
S025	H1H1	0.957422	BL07
S026	H1H1	0.946396	BL08
S027	H1H2	0.854348	BL09
S028	H1H1	0.977868	BL10
S029	H1H2	0.94445	BL11
S030	H1H2	0.905801	BL12
S031	H1H2	0.970425	BL13
S032	H1H2	0.922934	BL14
S033	H1H2	0.912754	BL15
S034	H1H2	0.943944	BL16
S035	H1H2	0.97117	BL17
S036	H1H2	0.882385	BL18
S037	H2H2	0.852116	BL01
S038	H1H2	0.92736	BL02
S039	H1H2	0.966131	BL03
S040	H1H2	0.920597	BL04
S041	H1H1	0.987851	BL05
S042	H1H2	0.900375	BL06
S043	H1H1	0.877503	BL07
S044	H1H1	0.868391	BL08
S045	H1H2	0.891478	BL09
S046	H1H2	0.941361	BL10
S047	H1H1	0.956402	BL11
S048	H1H1	0.962678	BL12
S049	H2H2	0.913147	BL13
S050	H1H2	0.920831	BL14
S051	H2H2	0.987015	BL15
S052	H1H2	0.906127	BL16
S053	H1H2	0.947592	BL17
S054	H1H2	0.960509	BL18
S055	H1H2	0.930619	BL01
S056	H1H2	0.923546	BL02
S057	H2H2	0.974656	BL03
S058	H2H2	0.94017	BL04
S059	H1H2	0.904874	BL05
S060	H1H2	0.96892	BL06
S061	H1H2	0.862749	BL07
S062	H1H2	0.858663	BL08
S063	H1H2	0.965838	BL09
S064	H1H2	0.85307	BL10
S065	H1H2	0.936321	BL11
S066	H1H2	0.854317	BL12
S067	H1H1	0.859958	BL13
S068	H2H2	0.907256	BL14
S069	H1H1	0.963817	BL15
S070	H1H2	0.897923	BL16
S071	H1H2	0.878993	BL17
S072	H1H1	0.960359	BL18
S073	H2H2	0.89909	BL01
S074	H1H2	0.971638	BL02
S075	H1H1	0.989796	BL03
S076	H1H1	0.902196	BL04
S077	H1H1	0.878191	BL05
S078	H1H1	0.885843	BL06
S079	H1H2	0.939134	BL07
S080	H1H2	0.953494	BL08
S081	H2H2	0.881004	BL09
S082	H1H2	0.931838	BL10
S083	H1H1	0.855391	BL11
S084	H2H2	0.921414	BL12
S085	H1H2	0.94052	BL13
S086	H1H2	0.902034	BL14
S087	H1H1	0.909917	BL15
S088	H1H2	0.927007	BL16
S089	H2H2	0.959873	BL17
S090	H1H2	0.931992	BL18
S091	H2H2	0.873193	BL01
S092	H2H2	0.872489	BL02
S093	H2H2	0.919205	BL03
S094	H1H2	0.986815	BL04
S095	H1H1	0.894541	BL05
S096	H1H1	0.893538	BL06
S097	H1H2	0.942372	BL07
S098	H2H2	0.886236	BL08
S099	H1H2	0.86645	BL09
S100	H1H1	0.872676	BL10
S101	H1H1	0.967759	BL11
S102	H1H2	0.9458	BL12
S103	H1H2	0.883746	BL13
S104	H1H2	0.937964	BL14
S105	H1H2	0.936999	BL15
S106	H1H1	0.970392	BL16
S107	H2H2	0.985184	BL17
S108	H2H2	0.933146	BL18
S109	H1H1	0.864826	BL01
S110	H1H2	0.877656	BL02
S111	H1H2	0.98058	BL03
S112	H1H2	0.932065	BL04
S113	H1H1	0.985298	BL05
S114	H1H2	0.933825	BL06
S115	H1H2	0.882908	BL07
S116	H2H2	0.917904	BL08
S117	H2H2	0.958279	BL09
S118	H2H2	0.895248	BL10
S119	H1H2	0.934283	BL11
S120	H1H1	0.969597	BL12
S121	H1H2	0.908798	BL13
S122	H1H1	0.903569	BL14
S123	H1H1	0.888851	BL15
S124	H2H2	0.876209	BL16
S125	H1H2	0.892616	BL17
S126	H1H2	0.964457	BL18
S127	H1H2	0.87003	BL01
S128	H2H2	0.895831	BL02
S129	H2H2	0.885485	BL03
S130	H2H2	0.979746	BL04
S131	H1H1	0.967683	BL05
S132	H1H1	0.968063	BL06
S133	H1H1	0.897143	BL07
S134	H1H1	0.970134	BL08
S135	H1H2	0.929258	BL09
S136	H2H2	0.886443	BL10
S137	H1H2	0.941825	BL11
S138	H1H2	0.889326	BL12
S139	H1H2	0.927701	BL13
S140	H2H2	0.867645	BL14
S141	H1H2	0.861178	BL15
S142	H1H2	0.857755	BL16
S143	H1H1	0.941171	BL17
S144	H2H2	0.971835	BL18
S145	H1H2	0.986315	BL01
S146	H1H1	0.892526	BL02
S147	H1H1	0.928508	BL03
S148	H2H2	0.89621	BL04
S149	H1H2	0.891875	BL05
S150	H1H2	0.864673	BL06
S151	H1H2	0.956382	BL07
S152	H2H2	0.965571	BL08
S153	H1H2	0.924661	BL09
S154	H2H2	0.945471	BL10
S155	H1H2	0.927138	BL11
S156	H2H2	0.939004	BL12
S157	H2H2	0.928506	BL13
S158	H1H1	0.924352	BL14
S159	H2H2	0.86183	BL15
S160	H2H2	0.9385	BL16
S161	H1H2	0.902833	BL17
S162	H1H2	0.968263	BL18
S163	H1H2	0.8657	BL01
S164	H1H2	0.865081	BL02
S165	H1H2	0.966653	BL03
S166	H1H2	0.986077	BL04
S167	H2H2	0.964072	BL05
S168	H1H2	0.864829	BL06
S169	H1H1	0.864974	BL07
S170	H1H1	0.94462	BL08
S171	H2H2	0.987516	BL09
S172	H1H2	0.943691	BL10
S173	H1H2	0.905041	BL11
S174	H1H2	0.983254	BL12
S175	H1H2	0.945105	BL13
S176	H1H2	0.871235	BL14
S177	H1H2	0.870074	BL15
S178	H2H2	0.888656	BL16
S179	H1H1	0.851814	BL17
S180	H1H2	0.8962	BL18
S181	H1H2	0.889622	BL01
S182	H1H1	0.862546	BL02
S183	H1H1	0.923297	BL03
S184	H1H2	0.960156	BL04
S185	H1H2	0.85213	BL05
S186	H1H1	0.932118	BL06
S187	H1H2	0.984296	BL07
S188	H1H2	0.978825	BL08
S189	H1H1	0.868138	BL09
S190	H1H1	0.988235	BL10
S191	H1H2	0.929956	BL11
S192	H1H2	0.867304	BL12
S193	H1H2	0.928355	BL13
S194	H1H1	0.872442	BL14
S195	H1H1	0.899741	BL15
S196	H1H1	0.856259	BL16
S197	H2H2	0.961537	BL17
S198	H1H1	0.969979	BL18
S199	H1H1	0.917087	BL01
S200	H1H2	0.871915	BL02
S201	H1H2	0.891319	BL03
S202	H1H1	0.965309	BL04
S203	H2H2	0.899652	BL05
S204	H1H2	0.87162	BL06
S205	H1H2	0.96833	BL07
S206	H1H2	0.907764	BL08
S207	H1H2	0.940464	BL09
S208	H2H2	0.976184	BL10
S209	H2H2	0.896884	BL11
S210	H2H2	0.911227	BL12
S211	H1H2	0.896745	BL13
S212	H1H1	0.857467	BL14
S213	H2H2	0.977403	BL15
S214	H1H2	0.962446	BL16
S215	H1H1	0.968511	BL17
S216	H1H1	0.912393	BL18
S217	H1H1	0.984266	BL01
S218	H1H1	0.987177	BL02
S219	H1H2	0.867828	BL03
S220	H1H2	0.921078	BL04
S221	H2H2	0.983192	BL05
S222	H1H2	0.911067	BL06
S223	H1H2	0.854051	BL07
S224	H1H2	0.935869	BL08
S225	H2H2	0.859156	BL09
S226	H1H2	0.871462	BL10
