# SYNTHETIC demo — local-PCA per-window summaries — gen_candidate_demo.py
window_id	chrom	start	end	pc1_median_H1H1	pc1_median_H1H2	pc1_median_H2H2	pc2_median_H1H1	pc2_median_H1H2	pc2_median_H2H2	window_cluster_continuity
LRR01_W001	C_gar_LG28	1200000	1299999	-0.733115	0.015896	0.75418	-0.044232	-0.000877	0.006727	0.868703
LRR01_W002	C_gar_LG28	1300000	1399999	-0.671405	0.029367	0.671957	-0.044114	-0.033255	0.038923	0.90851
LRR01_W003	C_gar_LG28	1400000	1499999	-0.749331	-0.011313	0.673551	0.023903	-0.001543	0.032405	0.923354
LRR01_W004	C_gar_LG28	1500000	1599999	-0.709497	0.007401	0.764581	-0.044505	-0.000846	-0.005715	0.903917
LRR01_W005	C_gar_LG28	1600000	1699999	-0.682187	0.023187	0.689273	0.048426	0.038996	0.030223	0.955065
LRR01_W006	C_gar_LG28	1700000	1799999	-0.717416	-0.004598	0.718188	0.040861	0.03915	0.033535	0.957678
LRR01_W007	C_gar_LG28	1800000	1899999	-0.683201	-0.019508	0.692502	-0.035682	-0.032174	0.016612	0.893247
LRR01_W008	C_gar_LG28	1900000	1999999	-0.7535	-0.006765	0.757827	-0.045125	0.019441	-0.021302	0.923004
LRR01_W009	C_gar_LG28	2000000	2099999	-0.675881	0.026321	0.692067	0.004653	-0.017522	-0.038864	0.890707
LRR01_W010	C_gar_LG28	2100000	2199999	-0.69369	0.001057	0.709654	0.020325	0.032113	-0.032431	0.928237
LRR01_W011	C_gar_LG28	2200000	2299999	-0.696197	0.012494	0.680068	0.027059	-0.000756	0.014385	0.885613
LRR01_W012	C_gar_LG28	2300000	2399999	-0.686915	0.024384	0.762623	-0.026213	0.027843	-0.001488	0.94416
LRR01_W013	C_gar_LG28	2400000	2499999	-0.683783	-0.018838	0.766644	-0.048758	-0.047603	-0.003329	0.956121
LRR01_W014	C_gar_LG28	2500000	2599999	-0.736542	-0.018987	0.745374	0.023662	0.029398	-0.032536	0.903791
LRR01_W015	C_gar_LG28	2600000	2699999	-0.743365	0.016203	0.712161	-0.014755	0.019726	0.002379	0.957705
LRR01_W016	C_gar_LG28	2700000	2799999	-0.715481	0.008771	0.678007	-0.030919	0.038932	0.02781	0.905937
LRR01_W017	C_gar_LG28	2800000	2899999	-0.724292	0.029907	0.682625	0.025457	0.027417	-0.021206	0.954139
LRR01_W018	C_gar_LG28	2900000	2999999	-0.759018	-0.001335	0.729621	0.016081	-0.005752	0.016268	0.957166
LRR01_W019	C_gar_LG28	3000000	3099999	-0.736061	0.015205	0.743721	-0.00037	-0.037511	0.027817	0.875118
LRR01_W020	C_gar_LG28	3100000	3199999	-0.695984	0.017791	0.670448	-0.02552	-0.032307	0.015351	0.885018
LRR01_W021	C_gar_LG28	3200000	3299999	-0.683289	-0.002284	0.765891	0.001933	0.029548	0.047775	0.875103
LRR01_W022	C_gar_LG28	3300000	3399999	-0.698927	-0.000618	0.691132	0.025621	0.034125	-0.006653	0.956931
LRR01_W023	C_gar_LG28	3400000	3499999	-0.70683	0.006719	0.719937	0.030313	0.047921	-0.037368	0.933632
LRR01_W024	C_gar_LG28	3500000	3599999	-0.695724	0.016774	0.760191	0.039643	0.036974	-0.049354	0.95663
LRR01_W025	C_gar_LG28	3600000	3699999	-0.735732	-0.015319	0.702093	0.042095	-0.033573	-0.034468	0.863731
LRR01_W026	C_gar_LG28	3700000	3799999	-0.71284	-0.009623	0.688386	-0.032972	0.008637	0.026562	0.884842
LRR01_W027	C_gar_LG28	3800000	3899999	-0.722283	-0.017831	0.733435	-0.038177	-0.035106	-0.040703	0.958549
LRR01_W028	C_gar_LG28	3900000	3999999	-0.718065	-0.01487	0.704563	0.030614	-0.002806	-0.047175	0.869629
LRR01_W029	C_gar_LG28	4000000	4099999	-0.682514	0.011774	0.697837	0.036404	-0.006206	0.006639	0.931799
LRR01_W030	C_gar_LG28	4100000	4199999	-0.731332	0.025257	0.758207	-0.029239	-0.047802	-0.024919	0.900191
LRR01_W031	C_gar_LG28	4200000	4299999	-0.705058	-0.014158	0.755207	-0.027073	-0.049986	-0.033295	0.922784
LRR01_W032	C_gar_LG28	4300000	4399999	-0.679491	0.014529	0.693228	-0.018254	0.011011	0.007958	0.932583
LRR01_W033	C_gar_LG28	4400000	4499999	-0.691189	-0.003008	0.737234	0.028616	-0.044908	-0.027672	0.924565
LRR01_W034	C_gar_LG28	4500000	4599999	-0.670793	0.026678	0.737873	-0.044611	0.025746	-0.018859	0.933645
LRR01_W035	C_gar_LG28	4600000	4699999	-0.729934	-0.022306	0.705647	0.016194	-0.035082	-0.006117	0.936774
LRR01_W036	C_gar_LG28	4700000	4799999	-0.72088	0.018493	0.693255	0.027625	0.031697	0.003431	0.874571
LRR01_W037	C_gar_LG28	4800000	4899999	-0.707948	0.013015	0.733925	0.035209	0.008361	0.005662	0.897418
LRR01_W038	C_gar_LG28	4900000	4999999	-0.731629	0.011686	0.740695	0.047543	-0.016805	-0.020709	0.884574
LRR01_W039	C_gar_LG28	5000000	5099999	-0.737502	0.011963	0.764393	-0.028896	-0.014917	0.000399	0.875893
LRR01_W040	C_gar_LG28	5100000	5199999	-0.734315	0.009123	0.761584	-0.021933	0.036744	-0.039011	0.939879
LRR01_W041	C_gar_LG28	5200000	5299999	-0.705005	-0.00331	0.724133	-0.023364	0.000834	0.045104	0.903549
LRR01_W042	C_gar_LG28	5300000	5399999	-0.736252	-0.005026	0.681839	-0.032903	0.008072	-0.006625	0.939317
LRR01_W043	C_gar_LG28	5400000	5499999	-0.682655	-0.002182	0.681152	-0.006274	0.035622	0.049186	0.89205
LRR01_W044	C_gar_LG28	5500000	5599999	-0.7471	-0.002121	0.717354	-0.036194	0.044682	0.000829	0.939608
LRR01_W045	C_gar_LG28	5600000	5699999	-0.689629	-0.008632	0.686118	0.043218	-0.026494	0.035702	0.894894
LRR01_W046	C_gar_LG28	5700000	5799999	-0.765482	0.028421	0.730426	0.013399	0.005926	0.00387	0.907059
LRR01_W047	C_gar_LG28	5800000	5899999	-0.726307	-0.005651	0.756303	-0.033621	0.028636	0.01726	0.897838
LRR01_W048	C_gar_LG28	5900000	5999999	-0.708923	-0.003972	0.682956	-0.011531	-0.026418	0.040124	0.875197
LRR01_W049	C_gar_LG28	6000000	6099999	-0.698104	-0.024706	0.743463	-0.031262	0.03991	-0.041145	0.952603
LRR01_W050	C_gar_LG28	6100000	6199999	-0.684773	0.025378	0.737196	-0.040241	-0.031542	-0.030335	0.893653
LRR01_W051	C_gar_LG28	6200000	6299999	-0.736706	-0.007663	0.764096	-0.034678	-0.04001	-0.038021	0.885099
LRR01_W052	C_gar_LG28	6300000	6399999	-0.735196	-0.002026	0.702467	-0.028461	-0.006874	0.024785	0.914654
LRR01_W053	C_gar_LG28	6400000	6499999	-0.703682	-0.019337	0.737444	0.010904	0.004765	-0.032029	0.897433
LRR01_W054	C_gar_LG28	6500000	6599999	-0.672857	0.016127	0.699705	0.042866	0.049628	0.004104	0.948243
LRR01_W055	C_gar_LG28	6600000	6699999	-0.729581	0.005658	0.672257	0.035356	-0.012352	0.008842	0.951212
LRR01_W056	C_gar_LG28	6700000	6799999	-0.702317	-0.022785	0.76918	0.02113	-0.017313	0.025828	0.913024
LRR01_W057	C_gar_LG28	6800000	6899999	-0.725972	0.029772	0.684248	-0.013483	-0.047356	0.038086	0.882089
LRR01_W058	C_gar_LG28	6900000	6999999	-0.7488	0.024399	0.6833	0.006804	-0.013958	0.001756	0.886847
LRR01_W059	C_gar_LG28	7000000	7099999	-0.697486	-0.000857	0.69195	0.006538	-0.005692	0.000901	0.863853
